The incident caused him to turn a new leaf.	He never found good support in family, and turned to gangs.	Rick grew up in a troubled household.	It wasn't long before Rick got shot in a robbery.	He is happy now.	3	1	0	2	4
Laverne needs to prepare something for her friend's party.	She chooses a recipe and follows it closely.	She decides to bake a batch of brownies.	Laverne tests one of the brownies to make sure it is delicious.	The brownies are so delicious Laverne eats two of them.	0	2	1	3	4
She had finally saved enough for the trip.	Sarah decided that she preferred her home over Europe.	Sarah had been dreaming of visiting Europe for years.	She didn't like how different everything was.	She landed in Spain and traveled east across the continent.	1	4	0	3	2
The cookies from the tube were as good as from scratch.	Gina intended to only eat 2 cookies and save the rest.	Gina liked the cookies so much she ate them all in one sitting.	She was very happy to find she was wrong.	Gina was worried the cookie dough in the tube would be gross.	2	3	4	1	0
I was playing the snare drum in the band.	I was very proud of my performance.	We played Thriller and Radar Love.	The performance was flawless.	It was  my final performance in marching band.	1	4	2	3	0
I never gave the man money again.	I had been giving this homeless man change everyday.	Soon enough, I saw the same homeless man emerge from it!	One day, as I was driving through my neighborhood I saw a new car.	He was on the same corner near my house.	4	0	3	2	1
The counter clicked down to one final photo.	Jim took time to decide what he would take a picture of.	The gravity of the situation began to dawn on Jim.	Jim found an old disposable camera in the bottom of his junk drawer.	He began snapping away at everything around him.	2	4	3	0	1
Ron started his new job as a landscaper today.	He loves the outdoors and has always enjoyed working in it.	His boss commends him for a job well done.	Ron is ecstatic, but does a thorough job and finishes super early.	His boss tells him to re-sod the front yard of the mayor's home.	0	1	4	3	2
John and Billy became very skilled at beer pong.	In Vegas, John and Billy competed against eighty contestants.	They entered a contest in college.	They won the contest and advanced to the next level.	The next level sent them to Vegas.	0	4	1	2	3
Caroline worked very hard to get good grades.	One day Caroline failed a test by one point.	Later, she passed the test.	Caroline was very frustrated but she continued to study hard.	Caroline was a student in medical school.	1	2	4	3	0
Her friends convinced her to go camping.	They showed her how to fish and showed her the stars.	She wasn't having a good time.	Eventually Trish grudgingly came to accept nature.	Trish hated the outdoors.	1	3	2	4	0
Corey felt that something was wrong.	The guy admired Corey's car and started a conversation.	When he finished pumping gas, the man punched Corey.	A man walked up to Corey as he pumped gas into his car.	When Corey came to, both the man and his car were gone.	2	1	3	0	4
Her boyfriend came over and asked if she liked it.	It was a card with a gift card in it for chocolates.	She was happy and immediately ordered the chocolates.	Marcy received a valentine from her boyfriend.	Marcy gave her boyfriend a big kiss and said yes.	3	1	2	0	4
She stopped by an amazing falafel cart.	Cara decided to eat at the food cart every week.	The food was amazing.	Cara went to a food cart in Philadelphia the other day.	Cara couldn't believe how good it was.	1	4	2	0	3
Tony was happy to be going on his first cruise.	Tony enjoyed going on the cruise.	He arrived at the docks and was ready with all his luggage.	When he walked around the corner he couldn't believe the size of it.	He boarded and the ship left the docks.	0	4	1	2	3
Ignacio wants to play a sport while he is in college.	Since he was a good swimmer, he decides to try out for swim the team.	Ignacio won a silver medal.	At the first swim meet, Ignacio wins second place!	Ignacio makes it onto the team easily.	0	1	4	3	2
His nearby marina was having a race.	They prepared for the start of the race.	Danny and his best friend manned the boat.	Danny bought a boat.	He decided to enter.	1	4	3	0	2
She wrote about all she knew and researched a little too!	As soon as she got home, Mary booted up her computer and began.	Luckily, Mary loved pandas, as was excited to get started.	Mary couldn't wait to present her report.	At school, Mary received an assignment to write an essay about pandas.	3	2	1	4	0
Ellen ended up winning the prize.	She planned to enter her special purple rose at the fair.	The roses grew more beautiful every day.	Ellen dreamed of winning a prize for her roses.	She fertilized the rose bush and covered it each night.	4	1	3	0	2
He tried to make friends with the other boys, but he couldn't.	He decided to make friends with the girls instead.	They girls welcomed him into their social groups happily.	Jesse was picked on by the other boys in school.	Jesse had just started fifth grade.	1	2	3	4	0
While she liked her job, she longed for a break.	One day, she tripped outside on uneven pavement.	Tiffany was getting overwhelmed at work.	She was in pain but happy to not have to go to work.	She broke her ankle and had to be off work for a couple months.	1	2	0	4	3
She had been in the car before napping in the living room.	Gina misplaced her phone at her grandparents.	It wasn't in the living room.	She grabbed her dad's keys and ran outside.	She found her phone in the car.	2	0	1	3	4
She threatened not to come to the wedding.	Alice called her mother and apologized profusely.	Her mother left an angry message on her phone.	Alice was getting married in a few weeks.	One night, her mother called and she forgot to call her back.	3	4	2	0	1
He has a big party for the Oscars and they all place bets.	He sees almost everyone and votes at the Oscars.	Ted continues to watch several movies a week.	Ted loves to go to the movies.	Ted almost always wins with the movies he chooses.	2	1	4	0	3
But she went anyways, hoping to have fun.	She shot paintballs at her friends and laughed the whole time.	She was nervous about going.	She loved it so much she planned a trip for the next week.	Nya had been asked on a paintball trip with friends.	2	3	1	4	0
All of Javier's friends at school have smartphones.	One day he decides to buy a smartphone too.	At first he loves having the access to internet everywhere he goes.	However, he still uses an old style flip phone.	But then he misses his old phone.	0	2	3	1	4
